"registryid","population_center","population_center_state","population_center_dist","ret_facility_name","ret_facility_id","ret_facility_dist","road_name","road_dist","substation_name","substation_countyfips","substation_dist"
"110070247710","Springfield","MO","46719.9130448896","James River Power Station","2161","44258.7271536585","I- 44","20750.7018825466","UNKNOWN117387","29109","11415.4726551355"
"110045011606","Durham","NC","2031.8196819723","Mecklenburg Power Station","52007","94091.0936651471","Durham Fwy","142.764083649946","UNKNOWN115136","37063","2394.96643010569"
"110070164188","Florence","SC","71471.6001499884","Darlington County","3250","49171.5056640505","US Hwy 74 Byp","26609.7179579272","CHERAW CASH ROAD","45025","2708.56355772278"
"110038736954","Inver Grove Heights","MN","10968.3764093588","Inver Hills","1913","17412.1020999142","I- 494","1897.73141521668","RED ROCK","27037","1409.85308156319"
"110070790076","Madison","MS","21650.3437859061","Rex Brown","2053","38930.1000271317","I- 55","2527.45330227297","UNKNOWN109667","28089","4009.99166537026"
"110038718073","Plainfield","NJ","1125.85433951079","Overlook Medical Center","62622","14604.1107982268","I- 78","5982.10652285124","FANWOOD","34039","3177.64934227628"
"110071062609","Waterloo","IA","3264.3946230478","Duane Arnold Energy Center","1060","87777.4021569788","US Hwy 218","2392.91618422716","LUNDQUIST","19013","908.738074400974"
"110070004645","Mesa","AZ","4352.37240487946","Ocotillo","116","6521.86354243324","Loop 202","3454.19430574269","UNKNOWN303782","04013","715.970944947395"
"110070789564","Honolulu","HI","4181.97748777134","AES Hawaii","10673","27780.7664863436","Lunalilo Fwy","1209.18255167156","UNKNOWN155647","15003","2531.81152834208"
"110043242229","Marion","IA","1704.28427163429","Duane Arnold Energy Center","1060","23349.8628324739","State Hwy 100","8297.36000419495","MARION","19113","2356.23174676627"
"110070068935","Biloxi","MS","27926.9774334793","Victor J Daniel Jr","6073","20739.3019468623","I- 10","5849.19865740859","UNKNOWN110479","28059","2071.69453687281"
"110040218760","Midland","MI","314826.570528756","TES Filer City Station","50835","299768.803665152","I- 75","16216.3931729163","UNKNOWN128298","26031","1515.15153754141"
"110038751124","Columbia","MO","114623.929781166","Columbia (MO)","2123","112325.81738279","US Hwy 36","2133.02364621239","UNKNOWN117153","29121","877.318488237681"
"110045010983","Columbia","SC","1307.26078117538","Parr GT","3291","48417.6021978566","US Hwy 76","2387.98363127446","UNKNOWN157674","45079","634.637047932676"
"110039688433","Urbandale","IA","54444.9715895428","Iowa State University","54201","59519.0416492197","I- 80","45640.3120368429","UNKNOWN137698","19049","1646.06198994995"
"110054145616","Kalamazoo","MI","58815.9489503522","Palisades","1715","22383.8194635626","I- 94","17469.5184998698","UNKNOWN128725","26159","927.434402581799"
"110069992144","Bangor","ME","107648.896973647","Androscoggin Mill","54085","262592.704629494","I- 395","100473.781675106","UNKNOWN136782","23029","16176.1119096747"
"110070068972","Kenosha","WI","2031.42470636537","Waukegan","883","31511.1075191775","I- 94","12275.1631096048","ALBERS","55059","871.10201159721"
"110070068716","Mobile","AL","8528.26219914495","Yellowhammer Gas Plant","54730","44596.0933716926","I- 165","955.807938014993","UNKNOWN109082","01097","1704.61503569667"
"110064565616","Long Beach","CA","8149.25335762609","Los Angeles Refinery Wilmington","54451","3318.24702326338","Harbor Fwy","2155.41303943743","STATION Q (HARBOR)","06037","1482.04270688108"
"110038717047","Riverside","CA","6008.36349455888","New-Indy Ontario Mill","10427","20222.3190129668","Riverside Fwy","614.739527281455","RIVERSIDE","06065","754.981144399459"
"110060532856","Plainfield","NJ","1820.10965679236","Overlook Medical Center","62622","17104.0414222179","I- 78","6485.80460957662","SOUTH 2ND STREE","34039","1920.99133005784"
"110041263254","Tulsa","OK","1234.89132472723","GREC","165","77934.8072799561","US Hwy 412","305.704598425794","UNKNOWN118356","40143","938.178217926481"
"110071089235","Toledo","OH","4422.82471784957","Monroe (MI)","1733","42399.8607134915","I- 75","842.102525605139","UNKNOWN156446","39095","821.074143226383"
"110070164264","Florence","SC","69118.9812144648","Darlington County","3250","46113.0157374886","US Hwy 74 Byp","29680.867443695","CHERAW CASH ROAD","45025","1584.066992531"
"110067033187","Grand Rapids","MI","1664.57129619007","Claude Vandyke","1880","42508.5596916911","I- 196","641.33000054449","UNKNOWN172287","26081","361.138219103764"
"110060472965","Charlotte","NC","5372.16012910777","G G Allen","2718","18430.6315838816","US Hwy 21","529.936482591284","UNKNOWN151771","37119","1694.50302844615"
"110039058408","Wauwatosa","WI","7731.72930348816","South Oak Creek","4041","38383.1894788874","North-South Fwy","2870.25954670335","FIREBANTZ","55079","1829.90514784279"
"110038752908","El Paso","TX","18152.3889423105","Rio Grande","2444","9190.0563055567","US Hwy 180","5257.32934094787","RIPLEY","48141","4843.31095680707"
"110015330701","Tallahassee","FL","39187.1980439621","Deerhaven Generating Station","663","266453.8471624","State Hwy 8","6574.98460037754","UNKNOWN120958","12039","994.01025220642"
"110070671532","Apache Junction","AZ","184607.339543363","Springerville","8223","112322.476931282","I- 40","147125.010374401","UNKNOWN300139","04017","34791.164162437"
"110038724093","Detroit","MI","1372.17526612048","River Rouge","1740","9760.4156027372","Fisher Fwy","163.211302198781","UNKNOWN128900","26163","2062.35013421067"
"110039058550","Atlanta","GA","1664.92163794149","Wansley","6052","85229.3964730418","I- 85","385.230074794677","UNKNOWN111357","13121","353.021420068679"
"110070789570","Honolulu","HI","4307.63294948781","AES Hawaii","10673","28234.7587812522","Lunalilo Fwy","1240.5006089158","UNKNOWN155647","15003","3004.29051878113"
"110038766145","Boston","MA","8320.5735636664","Mass Inst Tech Cntrl Utilities/Cogen Plt","54907","8882.61396861028","State Rte 3","1648.6718174221","DEWAR STREET","25025","1601.50297656087"
"110071162856","Grand Forks","ND","214516.502052334","R M Heskett","2790","273386.686556735","I- 94","169376.845020462","UNKNOWN162638","38005","9311.06682051499"
"110059721387","Portland","OR","6721.2680442541","Alden Bailey Power Plant","56223","126840.734678748","Pacific Hwy","1849.24346699823","UNKNOWN202809","41051","978.7002863407"
"110069497155","Los Banos","CA","32397.756903251","San Jose Cogeneration","10548","98516.5350046893","Westside Fwy","10123.8439580799","GUSTINE","06047","1691.8037440035"
"110070258830","Warner Robins","GA","29453.1334563334","Scherer","6257","36534.4477193214","I- 75","2068.62748466931","UNKNOWN114837","13021","1239.92830370983"
"110038711560","Las Vegas","NV","2509.00614304112","Saguaro Power","54271","25344.1115056997","US Hwy 93","70.2679563041366","MILLER","32003","1420.8892506745"
"110071194873","Grand Forks","ND","211068.408921138","R M Heskett","2790","275933.77444107","I- 94","169105.341183253","UNKNOWN162638","38005","10486.3753695139"
"110039555674","Hartford","CT","442.328737221834","Capitol District Energy Center","50498","769.408277045991","Yankee Expy","407.065127149183","SOUTHWEST HARTFORD","09003","3546.28265289447"
"110067220992","Oklahoma City","OK","1399.17177864029","Weleetka","2966","154621.859592077","US Hwy 270","243.95179529253","UNKNOWN162377","40109","699.713093757274"
"110038695114","West Sacramento","CA","4030.92565128465","Greenleaf 1","10350","70164.4923571749","el Dorado Fwy","389.500235539606","WEST SACRAMENTO","06113","2201.03942546287"
"110054363988","Maricopa","AZ","13123.4907303842","Ocotillo","116","56434.5081338086","I- 10","18542.5256395408","DUKE","04021","7088.37917719683"
"110038734643","Columbia","SC","3470.1278950437","Parr GT","3291","49649.7100333191","State Hwy 277","4176.72040632246","UNKNOWN158433","45079","705.153262390711"
"110071194873","Grand Forks","ND","211068.408921138","R M Heskett","2790","275933.77444107","I- 94","169105.341183253","UNKNOWN162638","38005","10486.3753695139"
"110040822107","Burlington","VT","929.370694237045","Albany Medical Ctr Cogen Plant","59453","287577.235390225","I- 89","4111.73932122465","UNKNOWN139867","50007","662.347765478718"
"110064402819","Mount Pleasant","MI","65047.8812341655","Erickson Station","1832","80383.1156901838","US Hwy 27","40357.085329866","UNKNOWN156739","26117","6991.34498034455"
"110070354520","Long Branch","NJ","12248.4071537329","Newark Bay Cogeneration Partnership LP","50385","74767.6774138769","State Rte 18","3133.08705896227","UNKNOWN173642","34025","1177.50171005935"
"110066850027","Council Bluffs","IA","2029.7701322955","North Omaha","2291","15244.6586863647","I- 29","3016.29917891147","UNKNOWN132030","19155","1678.45717948391"
"110015355827","Indianapolis","IN","6479.2581767961","Crawfordsville Power Plant","1024","86663.527933949","I- 65","649.143441011852","UNKNOWN124369","18097","2716.51908396905"
"110039556780","Fort Lauderdale","FL","2024.32663060572","Indiantown Cogeneration LP","50976","119592.932002491","State Hwy 9","229.255072504275","SISTRUNK","12011","2013.88152187758"
"110043241300","Sanford","NC","712.896923217849","Mecklenburg Power Station","52007","170327.135409804","US Hwy 15","1963.68402539164","UNKNOWN114148","37105","2316.51753769137"
"110046369602","Vista","CA","1343.28689124538","UCSD Fuel Cell Plant","57735","41440.8339607487","Hwy 78","905.010656078184","MELROSE","06073","3723.41372054787"
"110044760425","Ann Arbor","MI","13483.326036384","Hancock","1730","50524.1247178081","I- 94","1805.52191711153","UNKNOWN128421","26161","2572.47311457275"
"110070106102","Enid","OK","92403.7321284666","Ponca","762","72143.3566944211","I- 35","29738.1558502279","UNKNOWN159800","40053","15432.5548361882"
"110066849192","Gadsden","AL","67406.822667366","Hammond","708","61294.7141343585","I- 59","9949.62976342109","RAINSVILLE","01049","4705.74534460717"
"110039058408","Wauwatosa","WI","7731.72930348816","South Oak Creek","4041","38383.1894788874","North-South Fwy","2870.25954670335","FIREBANTZ","55079","1829.90514784279"
"110038705390","Queen Creek","AZ","24338.4811231789","Ocotillo","116","49070.5432792233","I- 10","6482.57720401594","UNKNOWN310494","04021","9219.92891192237"
"110046370173","Lancaster","PA","1416.24338368922","York Generation Company LLC","54693","42151.827510353","State Rte 23","4906.5381054849","ENGLESIDE","42071","1642.68129899859"
"110061010668","West Hollywood","CA","3517.37935896521","Scattergood","404","24687.6230446931","Hollywood Fwy","3231.01682112721","STATION H (HOLLYWOOD)","06037","679.309708298941"
"110038732743","Wauwatosa","WI","5265.42682878688","South Oak Creek","4041","34119.509553387","State Hwy 175","773.999659609075","PARK HILL","55079","2258.87727430949"
"110070226000","Spokane","WA","143791.351559123","Northeast (WA)","6210","140979.636992814","US Hwy 395","130016.825909196","UNKNOWN207707","53065","21921.14522235"
"110060394746","West New York","NJ","7237.55274363868","59th Street","2503","10479.2596899471","I- 95","751.663408268021","CARLSTADT","34003","660.396227244683"
"110038736954","Inver Grove Heights","MN","10968.3764093588","Inver Hills","1913","17412.1020999142","I- 494","1897.73141521668","RED ROCK","27037","1409.85308156319"
"110054365138","Charlotte","NC","14768.6213687455","G G Allen","2718","33457.8763780198","I- 85","3938.69103543929","UNKNOWN114259","37119","2831.85166148171"
"110070100720","Mesa","AZ","1315.29826157021","Ocotillo","116","11550.5650507355","Superstition Fwy","3844.3043160101","UNKNOWN307722","04013","991.021985556737"
"110038719768","Jacksonville","FL","3049.2169649052","Seminole (FL)","136","76935.9981978592","I- 95","566.697990781106","BROOKLYN","12031","1128.65403425609"
"110010885453","Wausau","WI","90910.2943495792","Weston","4078","93854.2701303496","State Hwy 29","42752.1585661839","UNKNOWN143724","55115","10379.2841053705"
"110064565162","Joplin","MO","105441.797712726","Asbury","2076","64396.1545885391","US Hwy 69","4215.76077217224","UNKNOWN157372","20011","787.754820320121"
"110063011636","Starkville","MS","28118.4835201634","Gorgas","8","161662.432313955","US Hwy 82","15906.6838890453","UNKNOWN161260","28025","2472.34262301184"
"110071141349","Billings","MT","207216.533517526","Colstrip","6076","42436.2723667368","I- 90","82218.7481340524","UNKNOWN205564","30087","1283.81204886608"
"110070057763","Gillette","WY","179986.066415421","Arvada","8028","95438.3061917983","US Hwy 14","1670.04064659819","UNKNOWN207577","56033","2417.7462356578"
"110024251067","Tampa","FL","5089.20690614984","Big Bend","645","15375.0556553049","Selmon Expy","4395.20121150925","UNKNOWN108377","12057","1659.08157514613"
"110039540440","San Antonio","TX","2007.8197980206","O W Sommers","3611","22098.4389163769","I- 37","617.391608720233","PARSONS STREET","48029","1232.31232226248"
"110064566223","Hutchinson","KS","50010.2014828778","Hoisington","1286","68955.9111630957","State Hwy 61","45526.382523364","UNKNOWN172219","20159","1234.8047537216"
"110038710703","Niagara Falls","NY","2126.40461626783","General Mills Inc","54564","37210.2665601033","I- 190","5739.36009698923","UNKNOWN125347","36063","377.290497568761"
"110070525717","Henderson","NV","308.165314867463","Saguaro Power","54271","3175.03449297033","I- 11","2352.58997023538","UNKNOWN301418","32003","1167.74000016277"
"110038707726","Sacramento","CA","2336.21662285771","Greenleaf 1","10350","72807.6740117323","State Hwy 16","925.488403842353","STATION B","06067","745.763328515355"
"110023043990","Fitchburg","MA","56508.5337017905","Simonds","58945","62247.3278159042","State Rte 2","25485.1126124767","WESTPORT","33005","13816.3783994879"
